Sector,Ticker,Model,Mean IC,Mean RankIC,Hit Rate,Sharpe Ratio,Max Drawdown
Healthcare,BIIB,Price-Only,-0.2102389416207418,-0.2736334049258583,0.5392491467576792,0.922132937775446,-0.0099150201067047
Healthcare,BMY,Dual Fusion,-0.0582235261349293,-0.1749708454543623,0.4566929133858268,-0.8852160924637157,-0.0176709398831087
Healthcare,BMY,Price-Only,-0.1386108724249843,-0.1295418870293897,0.4046511627906977,-0.535492784898891,-0.0081068005308366
Healthcare,CI,Dual Fusion,-0.2564629602752492,-0.3210848904544918,0.3539325842696629,-1.5344142659951043,-0.0119014945111233
Healthcare,CI,Price-Only,0.4361077209406953,0.3849152799363178,0.6810810810810811,2.2184822242542244,-0.0051658934013001
Healthcare,CVS,Dual Fusion,-0.1954046813827058,-0.2951850780556954,0.3931297709923664,-1.4118003185270414,-0.0170695203458424
Healthcare,CVS,Price-Only,0.152890199559936,0.0698385936136139,0.5054945054945055,0.4288938858911325,-0.0134776943383306
Healthcare,GILD,Dual Fusion,-0.0992878585486049,-0.1104624695915319,0.4886363636363636,-0.7283719773429882,-0.0104621318830688
Healthcare,GILD,Price-Only,-0.2452073957827787,-0.2813705457009932,0.4059405940594059,-0.7048477766946741,-0.009763393632814
Healthcare,JNJ,Dual Fusion,0.0132274421622331,-0.0450165328294756,0.496551724137931,-1.0683541935929814,-0.0143390618317347
Healthcare,JNJ,Price-Only,0.0892957387573372,0.0957320814486094,0.5652173913043478,0.3304909474580302,-0.0155835439476606
Healthcare,LLY,Dual Fusion,-0.299191252586119,-0.3291508416843782,0.3974763406940063,-0.911178785604332,-0.0236536527519386
Healthcare,LLY,Price-Only,-0.210608934551915,-0.2407667434417511,0.4557823129251701,-0.1359673989086436,-0.0153337618580961
Healthcare,MRK,Dual Fusion,-0.2024351584525618,-0.2738594256600278,0.4901960784313725,0.1272115738206564,-0.0134675306949405
Healthcare,MRK,Price-Only,-0.0415753738512979,-0.0855773823740148,0.4591194968553459,0.4904812344203811,-0.0075156831368958
